id,user_id,schedule,drinking,smoking,workout_freq,diet,pet_view,spending_view,saving_view,travel_pref,interests,personality,created_at,updated_at
33,33,late,never,often,3+weekly,vegan,reject,luxury,conservative,"[""citywalk""]","[""basketball"",""running"",""travel"",""music"",""gaming""]",ENTP,2025-09-09 09:27:13,2025-09-09 09:27:13
34,34,early,never,never,weekly,vegetarian,love,balanced,aggressive,"[""mountain"",""sea""]","[""running"",""reading"",""yoga""]",INTJ,2025-08-13 09:27:13,2025-08-13 09:27:13
35,35,late,never,occasionally,3+weekly,normal,ok,balanced,aggressive,"[""desert"",""mountain"",""museum""]","[""music"",""photography"",""running"",""basketball"",""yoga"",""movie""]",ISFJ,2025-08-30 09:27:13,2025-08-30 09:27:13
36,36,late,occasionally,never,none,halal,allergic,luxury,balanced,"[""citywalk""]","[""movie"",""gaming"",""running""]",ENFP,2025-07-01 09:27:13,2025-07-01 09:27:13
37,37,early,often,never,none,normal,love,frugal,balanced,"[""island"",""mountain""]","[""cooking"",""basketball""]",ISTP,2025-08-09 09:27:13,2025-08-09 09:27:13
38,38,normal,often,never,daily,vegetarian,reject,luxury,conservative,"[""museum""]","[""reading"",""travel"",""movie"",""cooking"",""boardgame""]",ENTP,2025-06-21 09:27:13,2025-06-21 09:27:13
39,39,late,occasionally,occasionally,3+weekly,low_carb,ok,balanced,balanced,"[""citywalk""]","[""boardgame"",""football"",""photography"",""movie"",""hiking""]",ENFP,2025-06-29 09:27:13,2025-06-29 09:27:13
40,40,early,often,often,daily,vegan,ok,frugal,conservative,"[""sea""]","[""travel"",""yoga"",""hiking"",""gaming""]",,2025-08-19 09:27:13,2025-08-19 09:27:13
41,41,early,occasionally,often,none,vegan,allergic,balanced,balanced,"[""mountain"",""island""]","[""yoga"",""football""]",ISTP,2025-06-29 09:27:13,2025-06-29 09:27:13
42,42,early,never,often,none,vegetarian,ok,balanced,aggressive,"[""citywalk"",""roadtrip"",""sea""]","[""boardgame"",""cooking""]",ESFJ,2025-06-23 09:27:13,2025-06-23 09:27:13
43,43,late,occasionally,never,none,vegan,ok,frugal,aggressive,"[""sea""]","[""movie"",""yoga"",""hiking"",""boardgame""]",ENFP,2025-07-27 09:27:13,2025-07-27 09:27:13
44,44,late,never,never,weekly,low_carb,ok,balanced,conservative,"[""citywalk"",""desert"",""museum""]","[""movie"",""photography"",""travel"",""hiking"",""basketball"",""coding""]",INTJ,2025-09-14 09:27:13,2025-09-14 09:27:13
45,45,normal,never,occasionally,none,vegetarian,allergic,frugal,aggressive,"[""desert""]","[""travel"",""movie""]",ESFJ,2025-07-17 09:27:13,2025-07-17 09:27:13
46,46,normal,often,occasionally,daily,low_carb,ok,balanced,aggressive,"[""sea""]","[""music"",""football"",""running"",""basketball""]",,2025-07-04 09:27:13,2025-07-04 09:27:13
47,47,late,occasionally,never,daily,keto,love,balanced,conservative,"[""museum"",""roadtrip"",""sea""]","[""movie"",""basketball""]",INTJ,2025-08-28 09:27:13,2025-08-28 09:27:13
48,48,late,occasionally,never,weekly,vegan,love,luxury,aggressive,"[""island"",""roadtrip""]","[""music"",""reading"",""coding"",""hiking""]",ISFJ,2025-09-02 09:27:13,2025-09-02 09:27:13
49,49,late,often,occasionally,3+weekly,vegetarian,reject,frugal,aggressive,"[""sea"",""museum""]","[""hiking"",""football""]",INTJ,2025-06-19 09:27:13,2025-06-19 09:27:13
50,50,normal,occasionally,never,none,keto,reject,frugal,conservative,"[""citywalk"",""roadtrip""]","[""photography"",""basketball"",""gaming"",""movie""]",ENFP,2025-06-22 09:27:13,2025-06-22 09:27:13
51,51,early,often,often,3+weekly,halal,reject,luxury,balanced,"[""sea"",""desert""]","[""music"",""boardgame"",""coding"",""movie"",""basketball"",""photography""]",ISFJ,2025-07-15 09:27:13,2025-07-15 09:27:13
52,52,late,occasionally,often,weekly,vegan,allergic,luxury,balanced,"[""island"",""sea""]","[""reading"",""boardgame"",""coding"",""hiking"",""travel"",""gaming""]",ESFJ,2025-07-20 09:27:13,2025-07-20 09:27:13
53,53,early,often,never,daily,vegan,allergic,frugal,balanced,"[""desert"",""roadtrip"",""island""]","[""basketball"",""yoga"",""football"",""hiking"",""cooking"",""coding""]",ENTP,2025-07-02 09:27:13,2025-07-02 09:27:13
54,54,late,never,occasionally,none,low_carb,ok,balanced,aggressive,"[""mountain""]","[""gaming"",""running""]",,2025-09-01 09:27:13,2025-09-01 09:27:13
55,55,late,often,often,weekly,halal,ok,luxury,balanced,"[""museum"",""roadtrip"",""island""]","[""gaming"",""coding""]",ESFJ,2025-06-22 09:27:13,2025-06-22 09:27:13
56,56,early,never,never,weekly,vegan,love,balanced,aggressive,"[""roadtrip""]","[""running"",""football"",""music"",""boardgame"",""hiking""]",INTJ,2025-09-01 09:27:13,2025-09-01 09:27:13
57,57,late,often,never,weekly,halal,ok,balanced,aggressive,"[""sea"",""island"",""museum""]","[""music"",""reading"",""hiking"",""photography"",""basketball""]",ENFP,2025-07-14 09:27:13,2025-07-14 09:27:13
58,58,early,occasionally,never,weekly,normal,reject,balanced,aggressive,"[""island"",""roadtrip"",""mountain""]","[""travel"",""boardgame"",""gaming"",""music""]",,2025-06-30 09:27:13,2025-06-30 09:27:13
59,59,early,occasionally,never,daily,keto,love,frugal,aggressive,"[""citywalk""]","[""football"",""music"",""travel"",""movie"",""reading"",""yoga""]",ISFJ,2025-07-07 09:27:13,2025-07-07 09:27:13
60,60,late,never,occasionally,daily,normal,ok,luxury,conservative,"[""sea"",""citywalk""]","[""coding"",""boardgame"",""hiking"",""music"",""running""]",ENTP,2025-08-16 09:27:13,2025-08-16 09:27:13
61,61,early,never,never,none,keto,ok,frugal,aggressive,"[""museum"",""sea"",""desert""]","[""gaming"",""football"",""travel"",""yoga""]",ENTP,2025-08-14 09:27:13,2025-08-14 09:27:13
62,62,late,often,often,3+weekly,vegetarian,allergic,frugal,conservative,"[""mountain"",""desert"",""citywalk""]","[""movie"",""travel""]",INTJ,2025-07-06 09:27:13,2025-07-06 09:27:13
63,63,late,never,never,weekly,halal,allergic,luxury,aggressive,"[""citywalk"",""sea"",""museum""]","[""gaming"",""basketball"",""photography"",""music""]",ENFP,2025-09-07 09:27:13,2025-09-07 09:27:13
64,64,normal,occasionally,occasionally,3+weekly,normal,love,balanced,aggressive,"[""museum"",""citywalk""]","[""boardgame"",""movie"",""gaming"",""coding"",""travel"",""football""]",ISFJ,2025-06-16 09:27:13,2025-06-16 09:27:13
65,65,early,occasionally,never,daily,low_carb,reject,frugal,conservative,"[""desert"",""sea"",""mountain""]","[""running"",""reading"",""cooking"",""yoga""]",ISFJ,2025-07-31 09:27:13,2025-07-31 09:27:13
66,66,normal,never,never,none,normal,allergic,frugal,balanced,"[""roadtrip"",""island""]","[""running"",""reading"",""boardgame"",""cooking"",""travel""]",ISTP,2025-08-31 09:27:13,2025-08-31 09:27:13
67,67,late,never,occasionally,3+weekly,halal,allergic,luxury,conservative,"[""roadtrip"",""sea""]","[""yoga"",""cooking""]",,2025-07-08 09:27:13,2025-07-08 09:27:13
68,68,normal,never,often,3+weekly,low_carb,reject,frugal,aggressive,"[""island"",""sea""]","[""music"",""gaming"",""basketball""]",ENTP,2025-06-27 09:27:13,2025-06-27 09:27:13
69,69,late,often,occasionally,weekly,keto,love,luxury,balanced,"[""museum"",""mountain"",""sea""]","[""travel"",""coding"",""boardgame""]",ESFJ,2025-08-28 09:27:13,2025-08-28 09:27:13
70,70,normal,occasionally,often,3+weekly,vegetarian,allergic,frugal,aggressive,"[""museum"",""roadtrip""]","[""cooking"",""hiking"",""reading""]",ENFP,2025-07-21 09:27:13,2025-07-21 09:27:13
71,71,late,occasionally,occasionally,weekly,halal,reject,balanced,balanced,"[""desert"",""roadtrip"",""mountain""]","[""boardgame"",""travel"",""football"",""basketball"",""cooking""]",ESFJ,2025-08-01 09:27:13,2025-08-01 09:27:13
72,72,early,often,often,3+weekly,vegetarian,love,frugal,aggressive,"[""roadtrip"",""desert""]","[""yoga"",""reading"",""travel"",""running"",""movie"",""gaming""]",ENTP,2025-07-10 09:27:13,2025-07-10 09:27:13
73,73,early,never,never,3+weekly,keto,reject,frugal,balanced,"[""desert"",""roadtrip""]","[""movie"",""photography"",""basketball"",""yoga""]",ISFJ,2025-07-10 09:27:13,2025-07-10 09:27:13
74,74,late,never,often,none,halal,ok,balanced,conservative,"[""desert"",""mountain"",""museum""]","[""movie"",""boardgame"",""cooking"",""hiking""]",INTJ,2025-08-25 09:27:13,2025-08-25 09:27:13
75,75,early,often,occasionally,daily,normal,reject,balanced,balanced,"[""roadtrip"",""island"",""citywalk""]","[""basketball"",""coding"",""reading""]",ENFP,2025-08-07 09:27:13,2025-08-07 09:27:13
76,76,normal,occasionally,occasionally,none,keto,love,balanced,conservative,"[""museum""]","[""movie"",""cooking"",""music"",""yoga"",""gaming""]",ENTP,2025-08-27 09:27:13,2025-08-27 09:27:13
77,77,early,often,often,weekly,low_carb,reject,luxury,conservative,"[""mountain""]","[""running"",""yoga""]",ENTP,2025-09-05 09:27:13,2025-09-05 09:27:13
78,78,normal,never,often,weekly,normal,reject,frugal,aggressive,"[""island""]","[""running"",""cooking"",""gaming"",""movie"",""music"",""reading""]",ENFP,2025-08-23 09:27:13,2025-08-23 09:27:13
79,79,normal,never,occasionally,daily,halal,allergic,balanced,balanced,"[""roadtrip"",""citywalk"",""mountain""]","[""movie"",""gaming"",""cooking"",""photography"",""football""]",ENFP,2025-08-01 09:27:13,2025-08-01 09:27:13
80,80,early,often,never,daily,halal,love,luxury,conservative,"[""citywalk"",""mountain""]","[""movie"",""running"",""yoga"",""basketball"",""boardgame""]",INTJ,2025-08-31 09:27:13,2025-11-05 09:51:47
81,81,normal,never,often,3+weekly,vegan,allergic,luxury,conservative,"[""mountain"",""museum""]","[""music"",""photography""]",ISTP,2025-07-08 09:27:13,2025-07-08 09:27:13
82,82,normal,occasionally,never,3+weekly,vegan,ok,balanced,conservative,"[""citywalk"",""island"",""museum""]","[""hiking"",""boardgame"",""cooking"",""reading"",""football"",""running""]",INTJ,2025-06-23 09:27:13,2025-06-23 09:27:13
83,83,normal,never,often,weekly,halal,ok,frugal,aggressive,"[""island""]","[""photography"",""boardgame"",""yoga""]",ISTP,2025-08-27 09:27:13,2025-08-27 09:27:13
84,84,early,occasionally,occasionally,none,vegetarian,ok,balanced,balanced,"[""desert""]","[""music"",""basketball"",""gaming"",""boardgame""]",,2025-07-22 09:27:13,2025-07-22 09:27:13
85,85,late,never,occasionally,3+weekly,low_carb,love,luxury,aggressive,"[""desert""]","[""travel"",""hiking"",""reading"",""football""]",ESFJ,2025-08-21 09:27:13,2025-08-21 09:27:13
86,86,early,often,often,3+weekly,halal,love,luxury,balanced,"[""island"",""museum""]","[""photography"",""travel"",""coding"",""yoga"",""running"",""basketball""]",,2025-09-12 09:27:13,2025-09-12 09:27:13
87,87,normal,often,never,none,vegetarian,allergic,balanced,conservative,"[""desert""]","[""travel"",""boardgame"",""running"",""music"",""photography"",""reading""]",INTJ,2025-09-02 09:27:13,2025-09-02 09:27:13
88,88,normal,never,occasionally,weekly,keto,allergic,luxury,aggressive,"[""citywalk"",""sea""]","[""running"",""reading"",""hiking"",""boardgame"",""cooking"",""travel""]",ISTP,2025-07-19 09:27:13,2025-07-19 09:27:13
89,89,late,occasionally,occasionally,none,halal,ok,balanced,balanced,"[""roadtrip""]","[""movie"",""music"",""reading"",""football"",""travel"",""coding""]",,2025-07-09 09:27:13,2025-07-09 09:27:13
90,90,early,occasionally,never,none,keto,love,frugal,conservative,"[""museum""]","[""basketball"",""running"",""movie"",""gaming""]",,2025-08-21 09:27:13,2025-08-21 09:27:13
91,91,late,never,occasionally,daily,normal,allergic,luxury,balanced,"[""roadtrip"",""desert""]","[""travel"",""hiking"",""gaming"",""basketball""]",ISFJ,2025-08-17 09:27:13,2025-08-17 09:27:13
92,92,late,often,often,3+weekly,vegan,ok,luxury,conservative,"[""museum"",""mountain""]","[""reading"",""movie"",""basketball"",""music""]",ESFJ,2025-08-04 09:27:13,2025-08-04 09:27:13
93,93,normal,never,often,daily,halal,reject,frugal,conservative,"[""sea""]","[""travel"",""boardgame""]",ENFP,2025-07-09 09:27:13,2025-07-09 09:27:13
94,94,normal,occasionally,often,none,normal,allergic,balanced,aggressive,"[""roadtrip"",""citywalk""]","[""boardgame"",""basketball"",""movie"",""reading"",""running"",""gaming""]",ESFJ,2025-07-02 09:27:13,2025-07-02 09:27:13
95,95,early,occasionally,occasionally,none,vegetarian,reject,luxury,balanced,"[""desert"",""island""]","[""basketball"",""travel"",""hiking"",""yoga"",""cooking""]",ISTP,2025-06-29 09:27:13,2025-06-29 09:27:13
96,96,late,occasionally,never,weekly,halal,allergic,balanced,conservative,"[""island"",""citywalk"",""sea""]","[""football"",""movie"",""boardgame"",""hiking"",""gaming""]",ESFJ,2025-06-17 09:27:13,2025-06-17 09:27:13
97,97,normal,often,often,none,vegetarian,love,frugal,conservative,"[""mountain"",""desert"",""citywalk""]","[""basketball"",""boardgame"",""football""]",,2025-07-31 09:27:13,2025-07-31 09:27:13
98,98,late,occasionally,often,3+weekly,vegetarian,love,balanced,balanced,"[""sea"",""island"",""museum""]","[""photography"",""cooking"",""coding""]",INTJ,2025-07-29 09:27:13,2025-07-29 09:27:13
99,99,late,occasionally,never,none,low_carb,ok,frugal,balanced,"[""museum"",""citywalk""]","[""yoga"",""reading"",""movie"",""basketball""]",INTJ,2025-08-05 09:27:13,2025-08-05 09:27:13
100,100,early,often,occasionally,3+weekly,normal,ok,luxury,aggressive,"[""sea"",""citywalk""]","[""photography"",""football""]",INTJ,2025-06-27 09:27:13,2025-11-10 07:48:40
101,101,early,often,often,none,normal,ok,balanced,conservative,"[""sea"",""citywalk"",""roadtrip""]","[""boardgame"",""music"",""basketball"",""cooking""]",ISTP,2025-06-17 09:27:13,2025-06-17 09:27:13
102,102,early,never,occasionally,3+weekly,low_carb,love,frugal,conservative,"[""roadtrip"",""mountain"",""desert""]","[""coding"",""travel"",""cooking"",""music"",""photography"",""hiking""]",ESFJ,2025-07-14 09:27:13,2025-07-14 09:27:13
103,103,normal,often,often,none,keto,love,frugal,conservative,"[""island""]","[""photography"",""music"",""running"",""gaming"",""travel"",""boardgame""]",ISFJ,2025-06-22 09:27:13,2025-06-22 09:27:13
104,104,normal,often,never,3+weekly,halal,reject,frugal,aggressive,"[""desert""]","[""gaming"",""cooking"",""basketball"",""music"",""hiking""]",INTJ,2025-08-13 09:27:13,2025-08-13 09:27:13
105,105,late,often,occasionally,daily,low_carb,reject,balanced,conservative,"[""sea"",""island"",""desert""]","[""basketball"",""cooking"",""boardgame""]",INTJ,2025-07-30 09:27:13,2025-07-30 09:27:13
106,106,normal,often,often,weekly,low_carb,ok,frugal,balanced,"[""roadtrip"",""island""]","[""running"",""photography""]",ENFP,2025-07-23 09:27:13,2025-07-23 09:27:13
107,107,normal,occasionally,often,weekly,low_carb,reject,frugal,balanced,"[""desert"",""island"",""sea""]","[""basketball"",""travel"",""movie""]",INTJ,2025-07-16 09:27:13,2025-07-16 09:27:13
108,108,early,never,occasionally,3+weekly,vegetarian,ok,luxury,balanced,"[""museum"",""mountain""]","[""football"",""yoga""]",ISTP,2025-08-06 09:27:13,2025-08-06 09:27:13
109,109,normal,never,never,daily,normal,love,luxury,conservative,"[""museum""]","[""gaming"",""yoga""]",ISFJ,2025-07-25 09:27:13,2025-07-25 09:27:13
110,110,normal,often,often,3+weekly,vegetarian,allergic,luxury,balanced,"[""museum"",""desert"",""mountain""]","[""basketball"",""movie""]",,2025-09-10 09:27:13,2025-09-10 09:27:13
111,111,early,often,occasionally,daily,normal,ok,balanced,aggressive,"[""roadtrip"",""desert"",""mountain""]","[""coding"",""yoga"",""movie"",""travel"",""music""]",INTJ,2025-09-08 09:27:13,2025-09-08 09:27:13
112,112,early,occasionally,never,3+weekly,vegetarian,allergic,luxury,conservative,"[""museum"",""roadtrip""]","[""football"",""reading"",""music"",""boardgame""]",,2025-09-14 09:27:13,2025-09-14 09:27:13
113,113,early,never,occasionally,none,keto,ok,luxury,aggressive,"[""museum""]","[""cooking"",""travel"",""photography"",""boardgame""]",ESFJ,2025-08-29 09:27:13,2025-08-29 09:27:13
114,114,normal,never,often,3+weekly,vegan,ok,balanced,conservative,"[""desert"",""sea""]","[""basketball"",""coding"",""running"",""boardgame"",""reading"",""travel""]",,2025-08-26 09:27:13,2025-08-26 09:27:13
115,115,normal,never,often,3+weekly,normal,love,balanced,conservative,"[""mountain"",""desert"",""museum""]","[""music"",""football""]",ENFP,2025-08-22 09:27:13,2025-08-22 09:27:13
116,116,normal,occasionally,often,daily,keto,love,frugal,balanced,"[""roadtrip"",""mountain"",""sea""]","[""basketball"",""reading"",""yoga"",""music""]",ENTP,2025-09-09 09:27:13,2025-09-09 09:27:13
117,117,normal,occasionally,never,daily,vegetarian,reject,luxury,conservative,"[""mountain""]","[""running"",""movie""]",ENTP,2025-09-06 09:27:13,2025-09-06 09:27:13
118,118,late,occasionally,often,weekly,halal,reject,balanced,conservative,"[""roadtrip"",""museum""]","[""coding"",""reading"",""photography"",""hiking"",""yoga""]",INTJ,2025-07-20 09:27:13,2025-07-20 09:27:13
119,119,late,occasionally,never,none,vegan,allergic,balanced,aggressive,"[""mountain""]","[""hiking"",""reading"",""running""]",ISTP,2025-08-16 09:27:13,2025-08-16 09:27:13
120,120,normal,never,often,weekly,vegetarian,reject,balanced,conservative,"[""citywalk"",""mountain""]","[""yoga"",""cooking"",""travel""]",ENTP,2025-08-20 09:27:13,2025-08-20 09:27:13
121,121,early,occasionally,often,weekly,vegan,allergic,luxury,aggressive,"[""mountain""]","[""gaming"",""basketball"",""cooking""]",ENFP,2025-07-03 09:27:13,2025-07-03 09:27:13
122,122,late,occasionally,often,none,vegetarian,reject,frugal,balanced,"[""roadtrip""]","[""gaming"",""cooking"",""coding"",""running"",""yoga"",""music""]",ENFP,2025-08-01 09:27:13,2025-08-01 09:27:13
123,123,late,never,often,daily,vegan,reject,luxury,conservative,"[""roadtrip"",""sea""]","[""cooking"",""reading"",""travel"",""running""]",ENTP,2025-07-12 09:27:13,2025-07-12 09:27:13
124,124,normal,never,occasionally,daily,keto,reject,luxury,conservative,"[""museum""]","[""basketball"",""football"",""boardgame"",""hiking"",""cooking""]",INTJ,2025-07-02 09:27:13,2025-07-02 09:27:13
125,125,late,often,occasionally,weekly,low_carb,allergic,luxury,balanced,"[""citywalk"",""mountain"",""sea""]","[""photography"",""yoga"",""gaming"",""football"",""hiking"",""cooking""]",ENFP,2025-07-12 09:27:13,2025-07-12 09:27:13
126,126,late,occasionally,never,weekly,vegan,ok,balanced,conservative,"[""citywalk"",""roadtrip""]","[""photography"",""music"",""hiking""]",ESFJ,2025-08-04 09:27:13,2025-08-04 09:27:13
127,127,normal,never,occasionally,daily,normal,love,luxury,aggressive,"[""mountain"",""museum""]","[""gaming"",""cooking"",""coding"",""running""]",ISFJ,2025-09-04 09:27:13,2025-09-04 09:27:13
128,128,early,often,occasionally,daily,keto,allergic,frugal,conservative,"[""museum""]","[""gaming"",""football"",""cooking"",""boardgame"",""coding"",""music""]",ISTP,2025-08-28 09:27:13,2025-08-28 09:27:13
129,129,early,occasionally,never,3+weekly,vegetarian,reject,luxury,balanced,"[""mountain""]","[""running"",""music"",""coding""]",ISFJ,2025-07-19 09:27:13,2025-07-19 09:27:13
130,130,normal,often,often,none,halal,love,balanced,aggressive,"[""sea""]","[""gaming"",""yoga""]",INTJ,2025-08-13 09:27:13,2025-08-13 09:27:13
131,131,early,often,occasionally,3+weekly,halal,love,frugal,aggressive,"[""citywalk"",""museum"",""sea""]","[""movie"",""music"",""running"",""gaming"",""reading"",""football""]",,2025-06-28 09:27:13,2025-06-28 09:27:13
132,132,late,often,never,daily,low_carb,reject,frugal,conservative,"[""desert"",""island""]","[""music"",""boardgame"",""movie"",""travel"",""cooking""]",ESFJ,2025-09-09 09:27:13,2025-09-09 09:27:13
133,133,late,occasionally,never,none,vegan,reject,luxury,aggressive,"[""museum"",""citywalk""]","[""travel"",""yoga"",""hiking"",""reading"",""boardgame"",""football""]",ISTP,2025-06-21 09:27:13,2025-06-21 09:27:13
134,134,late,occasionally,never,none,low_carb,love,frugal,conservative,"[""sea"",""island"",""desert""]","[""running"",""photography"",""basketball"",""cooking"",""movie"",""reading""]",ISFJ,2025-07-01 09:27:13,2025-07-01 09:27:13
135,135,early,occasionally,never,none,normal,ok,frugal,aggressive,"[""mountain"",""roadtrip""]","[""hiking"",""gaming""]",ISFJ,2025-07-31 09:27:13,2025-07-31 09:27:13
136,136,normal,never,often,3+weekly,low_carb,love,balanced,aggressive,"[""museum"",""citywalk"",""island""]","[""hiking"",""photography"",""travel"",""basketball"",""gaming""]",ESFJ,2025-06-19 09:27:13,2025-06-19 09:27:13
137,137,late,often,often,3+weekly,keto,reject,balanced,conservative,"[""roadtrip""]","[""basketball"",""movie"",""music"",""hiking""]",,2025-07-10 09:27:13,2025-07-10 09:27:13
