id,user_id,counterpart_id,type,start_at,place,note,created_at
46,840,849,date,2025-08-27 13:10:02,博物馆,初次见面,2025-08-27 13:01:02
47,840,849,video,2025-08-28 10:21:02,,视频速配,2025-08-28 09:27:02
48,897,1246,date,2025-08-05 15:25:02,Manner Coffee,初次见面,2025-08-05 14:57:02
49,1384,907,date,2025-09-10 09:25:02,博物馆,初次见面,2025-09-10 08:42:02
50,1384,907,video,2025-09-10 09:50:02,,视频速配,2025-09-10 09:37:02
51,1801,948,video,2025-07-19 07:15:02,,视频速配,2025-07-19 06:49:02
52,948,1801,video,2025-07-19 16:32:02,,视频速配,2025-07-19 15:41:02
53,1034,1241,video,2025-08-25 10:19:02,,视频速配,2025-08-25 09:20:02
54,1100,1462,date,2025-07-06 10:23:02,万达广场,初次见面,2025-07-06 09:27:02
55,1462,1100,video,2025-07-07 09:06:02,,视频速配,2025-07-07 08:29:02
56,1171,1627,video,2025-08-14 02:07:02,,视频速配,2025-08-14 01:20:02
57,1627,1171,date,2025-08-14 15:25:02,星巴克,初次见面,2025-08-14 14:30:02
58,1183,1174,video,2025-08-28 08:50:02,,视频速配,2025-08-28 07:58:02
59,1216,1927,date,2025-08-13 16:01:02,万达广场,初次见面,2025-08-13 15:48:02
60,1415,1217,date,2025-06-26 10:44:02,博物馆,初次见面,2025-06-26 10:32:02
61,1301,1811,date,2025-07-19 15:33:02,万达广场,初次见面,2025-07-19 14:51:02
62,1735,1303,video,2025-08-15 07:50:02,,视频速配,2025-08-15 07:28:02
63,1303,1735,video,2025-08-15 13:23:02,,视频速配,2025-08-15 12:38:02
64,1368,1681,video,2025-08-31 17:03:02,,视频速配,2025-08-31 16:34:02
65,1368,1681,date,2025-08-31 21:46:02,星巴克,初次见面,2025-08-31 21:35:02
66,1612,1410,video,2025-08-31 16:11:02,,视频速配,2025-08-31 15:56:02
67,1612,1410,video,2025-09-01 03:19:02,,视频速配,2025-09-01 02:57:02
68,1498,1425,date,2025-08-06 14:13:02,星巴克,初次见面,2025-08-06 13:42:02
69,1449,1495,video,2025-08-04 01:28:02,,视频速配,2025-08-04 01:05:02
70,1495,1449,video,2025-08-04 07:53:02,,视频速配,2025-08-04 07:33:02
71,1524,1769,date,2025-07-29 16:13:02,商场中庭,初次见面,2025-07-29 15:30:02
72,1769,1524,video,2025-07-30 07:15:02,,视频速配,2025-07-30 07:12:02
73,1842,1538,video,2025-08-30 08:16:02,,视频速配,2025-08-30 07:26:02
74,1842,1538,video,2025-08-31 04:44:02,,视频速配,2025-08-31 04:17:02
75,1858,1949,date,2025-09-03 02:20:02,商场中庭,初次见面,2025-09-03 01:41:02
